Path,Label
28-05-2024\ASC-US\4468.png,ASC-US
28-05-2024\ASC-US\4482.png,ASC-US
28-05-2024\ASC-US\4491.png,ASC-US
28-05-2024\ASC-US\4615.png,ASC-US
28-05-2024\ASC-US\4616.png,ASC-US
28-05-2024\ASC-US\4617.png,ASC-US
28-05-2024\ASC-US\4623.png,ASC-US
28-05-2024\ASC-US\4624.png,ASC-US
28-05-2024\ASC-US\4625.png,ASC-US
28-05-2024\ASC-US\4673.png,ASC-US
28-05-2024\ASC-US\4674.png,ASC-US
28-05-2024\ASC-US\4692.png,ASC-US
28-05-2024\ASC-US\4700.png,ASC-US
28-05-2024\ASC-US\4706.png,ASC-US
28-05-2024\ASC-US\4721.png,ASC-US
28-05-2024\ASC-US\4722.png,ASC-US
28-05-2024\ASC-US\4768.png,ASC-US
28-05-2024\ASC-US\4769.png,ASC-US
28-05-2024\ASC-US\4770.png,ASC-US
28-05-2024\ASC-US\4784.png,ASC-US
28-05-2024\ASC-US\4786.png,ASC-US
28-05-2024\ASC-US\4814.png,ASC-US
28-05-2024\ASC-US\4817.png,ASC-US
28-05-2024\ASC-US\4819.png,ASC-US
28-05-2024\ASC-US\4843.png,ASC-US
28-05-2024\ASC-US\4844.png,ASC-US
28-05-2024\ASC-US\4858.png,ASC-US
28-05-2024\ASC-US\4859.png,ASC-US
28-05-2024\ASC-US\4861.png,ASC-US
28-05-2024\ASC-US\4886.png,ASC-US
28-05-2024\ASC-US\4899.png,ASC-US
28-05-2024\ASC-US\4900.png,ASC-US
28-05-2024\ASC-US\4914.png,ASC-US
28-05-2024\ASC-US\4915.png,ASC-US
28-05-2024\ASC-US\4916.png,ASC-US
28-05-2024\ASC-US\4924.png,ASC-US
28-05-2024\ASC-US\4925.png,ASC-US
28-05-2024\ASC-US\4926.png,ASC-US
28-05-2024\ASC-US\4927.png,ASC-US
28-05-2024\ASC-US\4928.png,ASC-US
28-05-2024\ASC-US\4929.png,ASC-US
28-05-2024\ASC-US\4930.png,ASC-US
28-05-2024\ASC-US\4938.png,ASC-US
28-05-2024\ASC-US\4939.png,ASC-US
28-05-2024\ASC-US\4940.png,ASC-US
28-05-2024\ASC-US\4949.png,ASC-US
28-05-2024\ASC-US\4950.png,ASC-US
28-05-2024\ASC-US\4951.png,ASC-US
28-05-2024\ASC-US\4997.png,ASC-US
28-05-2024\ASC-US\4998.png,ASC-US
28-05-2024\ASC-US\4999.png,ASC-US
28-05-2024\ASC-US\5015.png,ASC-US
28-05-2024\ASC-US\5025.png,ASC-US
28-05-2024\ASC-US\5032.png,ASC-US
28-05-2024\ASC-US\5033.png,ASC-US
28-05-2024\ASC-US\5036.png,ASC-US
28-05-2024\ASC-US\5037.png,ASC-US
28-05-2024\ASC-US\5038.png,ASC-US
28-05-2024\ASC-US\5039.png,ASC-US
28-05-2024\ASC-US\5040.png,ASC-US
28-05-2024\ASC-US\5060.png,ASC-US
28-05-2024\ASC-US\5061.png,ASC-US
28-05-2024\ASC-US\5080.png,ASC-US
28-05-2024\ASC-US\5081.png,ASC-US
28-05-2024\ASC-US\5090.png,ASC-US
28-05-2024\ASC-US\5098.png,ASC-US
28-05-2024\ASC-US\5099.png,ASC-US
28-05-2024\ASC-US\5150.png,ASC-US
28-05-2024\ASC-US\5186.png,ASC-US
28-05-2024\ASC-US\5187.png,ASC-US
28-05-2024\ASC-US\5188.png,ASC-US
28-05-2024\ASC-US\5189.png,ASC-US
28-05-2024\ASC-US\5190.png,ASC-US
28-05-2024\ASC-US\5191.png,ASC-US
28-05-2024\ASC-US\5192.png,ASC-US
28-05-2024\ASC-US\5204.png,ASC-US
28-05-2024\ASC-US\5205.png,ASC-US
28-05-2024\ASC-US\5206.png,ASC-US
28-05-2024\ASC-US\5209.png,ASC-US
28-05-2024\ASC-US\5210.png,ASC-US
28-05-2024\ASC-US\5211.png,ASC-US
28-05-2024\ASC-US\5212.png,ASC-US
28-05-2024\ASC-US\5213.png,ASC-US
28-05-2024\ASC-US\5217.png,ASC-US
28-05-2024\ASC-US\5218.png,ASC-US
28-05-2024\ASC-US\5219.png,ASC-US
28-05-2024\ASC-US\5269.png,ASC-US
28-05-2024\ASC-US\5270.png,ASC-US
28-05-2024\ASC-US\5275.png,ASC-US
28-05-2024\ASC-US\5276.png,ASC-US
28-05-2024\ASC-US\5325.png,ASC-US
28-05-2024\ASC-US\5326.png,ASC-US
28-05-2024\ASC-US\5346.png,ASC-US
28-05-2024\ASC-US\5347.png,ASC-US
28-05-2024\ASC-US\5464.png,ASC-US
28-05-2024\ASC-US\5482.png,ASC-US
28-05-2024\ASC-US\5615.png,ASC-US
28-05-2024\ASC-US\5618.png,ASC-US
28-05-2024\ASC-US\5730.png,ASC-US
28-05-2024\ASC-US\5731.png,ASC-US
28-05-2024\ASC-US\6420.png,ASC-US
28-05-2024\ASC-US\6421.png,ASC-US
28-05-2024\ASC-US\7674.png,ASC-US
28-05-2024\ASC-US\7675.png,ASC-US
28-05-2024\ASC-US\7676.png,ASC-US
28-05-2024\ASC-US\7680.png,ASC-US
28-05-2024\ASC-US\7681.png,ASC-US
28-05-2024\ASC-US\7693.png,ASC-US
28-05-2024\ASC-US\7694.png,ASC-US
28-05-2024\ASC-US\7695.png,ASC-US
28-05-2024\ASC-US\7714.png,ASC-US
28-05-2024\ASC-US\7770.png,ASC-US
28-05-2024\ASC-US\7790.png,ASC-US
28-05-2024\ASC-US\7791.png,ASC-US
28-05-2024\ASC-US\7819.png,ASC-US
28-05-2024\ASC-US\7820.png,ASC-US
28-05-2024\ASC-US\7821.png,ASC-US
28-05-2024\ASC-US\7911.png,ASC-US
28-05-2024\ASC-US\7919.png,ASC-US
28-05-2024\ASC-US\7920.png,ASC-US
28-05-2024\ASC-US\7921.png,ASC-US
28-05-2024\ASC-US\7922.png,ASC-US
28-05-2024\ASC-US\7923.png,ASC-US
28-05-2024\ASC-US\7924.png,ASC-US
28-05-2024\ASC-US\7977.png,ASC-US
28-05-2024\ASC-US\7979.png,ASC-US
28-05-2024\ASC-US\7994.png,ASC-US
28-05-2024\ASC-US\7995.png,ASC-US
28-05-2024\ASC-US\8008.png,ASC-US
28-05-2024\ASC-US\8103.png,ASC-US
28-05-2024\ASC-US\8104.png,ASC-US
28-05-2024\ASC-US\8105.png,ASC-US
28-05-2024\ASC-US\8106.png,ASC-US
28-05-2024\ASC-US\8107.png,ASC-US
28-05-2024\ASC-US\8123.png,ASC-US
28-05-2024\ASC-US\8124.png,ASC-US
28-05-2024\ASC-US\8129.png,ASC-US
28-05-2024\ASC-US\8130.png,ASC-US
28-05-2024\ASC-US\975.png,ASC-US
28-05-2024\ASC-US\976.png,ASC-US
28-05-2024\ASC-US\977.png,ASC-US
28-05-2024\ASC-US\978.png,ASC-US
28-05-2024\ASC-US\979.png,ASC-US
28-05-2024\ASC-US\989.png,ASC-US
28-05-2024\ASC-US\990.png,ASC-US
28-05-2024\HSIL\11449.png,HSIL
28-05-2024\HSIL\11451.png,HSIL
28-05-2024\HSIL\11452.png,HSIL
28-05-2024\HSIL\11453.png,HSIL
28-05-2024\HSIL\11454.png,HSIL
28-05-2024\HSIL\11455.png,HSIL
28-05-2024\HSIL\11456.png,HSIL
28-05-2024\HSIL\11457.png,HSIL
28-05-2024\HSIL\11458.png,HSIL
28-05-2024\HSIL\11459.png,HSIL
28-05-2024\HSIL\7604.png,HSIL
28-05-2024\HSIL\7605.png,HSIL
28-05-2024\HSIL\7606.png,HSIL
28-05-2024\HSIL\7607.png,HSIL
28-05-2024\HSIL\7653.png,HSIL
28-05-2024\HSIL\7662.png,HSIL
28-05-2024\HSIL\7663.png,HSIL
28-05-2024\HSIL\7664.png,HSIL
28-05-2024\HSIL\7665.png,HSIL
28-05-2024\HSIL\7666.png,HSIL
28-05-2024\HSIL\7667.png,HSIL
28-05-2024\HSIL\7668.png,HSIL
28-05-2024\HSIL\7684.png,HSIL
28-05-2024\HSIL\7685.png,HSIL
28-05-2024\HSIL\7686.png,HSIL
28-05-2024\HSIL\7699.png,HSIL
28-05-2024\HSIL\7700.png,HSIL
28-05-2024\HSIL\7701.png,HSIL
28-05-2024\HSIL\7702.png,HSIL
28-05-2024\HSIL\7703.png,HSIL
28-05-2024\HSIL\7704.png,HSIL
28-05-2024\HSIL\7705.png,HSIL
28-05-2024\HSIL\7706.png,HSIL
28-05-2024\HSIL\7707.png,HSIL
28-05-2024\HSIL\7721.png,HSIL
28-05-2024\HSIL\7722.png,HSIL
28-05-2024\HSIL\7723.png,HSIL
28-05-2024\HSIL\7725.png,HSIL
28-05-2024\HSIL\7728.png,HSIL
28-05-2024\HSIL\7754.png,HSIL
28-05-2024\HSIL\7755.png,HSIL
28-05-2024\HSIL\7756.png,HSIL
28-05-2024\HSIL\7757.png,HSIL
28-05-2024\HSIL\7758.png,HSIL
28-05-2024\HSIL\7759.png,HSIL
28-05-2024\HSIL\7760.png,HSIL
28-05-2024\HSIL\7761.png,HSIL
28-05-2024\HSIL\7762.png,HSIL
28-05-2024\HSIL\7763.png,HSIL
28-05-2024\HSIL\7764.png,HSIL
28-05-2024\HSIL\7778.png,HSIL
28-05-2024\HSIL\7779.png,HSIL
28-05-2024\HSIL\7780.png,HSIL
28-05-2024\HSIL\7781.png,HSIL
28-05-2024\HSIL\7782.png,HSIL
28-05-2024\HSIL\7783.png,HSIL
28-05-2024\HSIL\7784.png,HSIL
28-05-2024\HSIL\7785.png,HSIL
28-05-2024\HSIL\7786.png,HSIL
28-05-2024\HSIL\7794.png,HSIL
28-05-2024\HSIL\7795.png,HSIL
28-05-2024\HSIL\7798.png,HSIL
28-05-2024\HSIL\7799.png,HSIL
28-05-2024\HSIL\7800.png,HSIL
28-05-2024\HSIL\7801.png,HSIL
28-05-2024\HSIL\7802.png,HSIL
28-05-2024\HSIL\7803.png,HSIL
28-05-2024\HSIL\7804.png,HSIL
28-05-2024\HSIL\7805.png,HSIL
28-05-2024\HSIL\7806.png,HSIL
28-05-2024\HSIL\7807.png,HSIL
28-05-2024\HSIL\7808.png,HSIL
28-05-2024\HSIL\7809.png,HSIL
28-05-2024\HSIL\7810.png,HSIL
28-05-2024\HSIL\7811.png,HSIL
28-05-2024\HSIL\7812.png,HSIL
28-05-2024\HSIL\7813.png,HSIL
28-05-2024\HSIL\7814.png,HSIL
28-05-2024\HSIL\7815.png,HSIL
28-05-2024\HSIL\7816.png,HSIL
28-05-2024\HSIL\7817.png,HSIL
28-05-2024\HSIL\7818.png,HSIL
28-05-2024\HSIL\7824.png,HSIL
28-05-2024\HSIL\7825.png,HSIL
28-05-2024\HSIL\7899.png,HSIL
28-05-2024\HSIL\7900.png,HSIL
28-05-2024\HSIL\7901.png,HSIL
28-05-2024\HSIL\7905.png,HSIL
28-05-2024\HSIL\7906.png,HSIL
28-05-2024\HSIL\7907.png,HSIL
28-05-2024\HSIL\7908.png,HSIL
28-05-2024\HSIL\7909.png,HSIL
28-05-2024\HSIL\7913.png,HSIL
28-05-2024\HSIL\7927.png,HSIL
28-05-2024\HSIL\7928.png,HSIL
28-05-2024\HSIL\7929.png,HSIL
28-05-2024\HSIL\7930.png,HSIL
28-05-2024\HSIL\7957.png,HSIL
28-05-2024\HSIL\7958.png,HSIL
28-05-2024\HSIL\7959.png,HSIL
28-05-2024\HSIL\7960.png,HSIL
28-05-2024\HSIL\7961.png,HSIL
28-05-2024\HSIL\7962.png,HSIL
28-05-2024\HSIL\7963.png,HSIL
28-05-2024\HSIL\7964.png,HSIL
28-05-2024\HSIL\7965.png,HSIL
28-05-2024\HSIL\7966.png,HSIL
28-05-2024\HSIL\7967.png,HSIL
28-05-2024\HSIL\7969.png,HSIL
28-05-2024\HSIL\7970.png,HSIL
28-05-2024\HSIL\7971.png,HSIL
28-05-2024\HSIL\7972.png,HSIL
28-05-2024\HSIL\7986.png,HSIL
28-05-2024\HSIL\7987.png,HSIL
28-05-2024\HSIL\7988.png,HSIL
28-05-2024\HSIL\7989.png,HSIL
28-05-2024\HSIL\7990.png,HSIL
28-05-2024\HSIL\7991.png,HSIL
28-05-2024\HSIL\7992.png,HSIL
28-05-2024\HSIL\7993.png,HSIL
28-05-2024\HSIL\8009.png,HSIL
28-05-2024\HSIL\8010.png,HSIL
28-05-2024\HSIL\8011.png,HSIL
28-05-2024\HSIL\8012.png,HSIL
28-05-2024\HSIL\8059.png,HSIL
28-05-2024\HSIL\8060.png,HSIL
28-05-2024\HSIL\8061.png,HSIL
28-05-2024\HSIL\8062.png,HSIL
28-05-2024\HSIL\8063.png,HSIL
28-05-2024\HSIL\8064.png,HSIL
28-05-2024\HSIL\8065.png,HSIL
28-05-2024\HSIL\8066.png,HSIL
28-05-2024\HSIL\8067.png,HSIL
28-05-2024\HSIL\8068.png,HSIL
28-05-2024\HSIL\8069.png,HSIL
28-05-2024\HSIL\8070.png,HSIL
28-05-2024\HSIL\8071.png,HSIL
28-05-2024\HSIL\8072.png,HSIL
28-05-2024\HSIL\8073.png,HSIL
28-05-2024\HSIL\8074.png,HSIL
28-05-2024\HSIL\8075.png,HSIL
28-05-2024\HSIL\8076.png,HSIL
28-05-2024\HSIL\8077.png,HSIL
28-05-2024\HSIL\8078.png,HSIL
28-05-2024\HSIL\8079.png,HSIL
28-05-2024\HSIL\8080.png,HSIL
28-05-2024\HSIL\8081.png,HSIL
